"TOA5","sdle-sf01","CR1000","47777","CR1000.Std.24","CPU:SLDESF01Program-pyroandweather.CR1","27205","SF01"
"TIMESTAMP","RECORD","SlrW_Avg","SlrkJ_2_Tot","WindDir_Avg","WindSpd_Avg","WindSpd_Max","WindSpd_TMx","AirTemp_Avg","RelHum_Avg","AirPress_Avg","RainAmt_Avg","HailAmt_Avg","Result8_Avg","Result9_Avg"
"TS","RN","W/m^2","kJ/m^2","Degrees","m/s","m/s","m/s","Celsius","%","hPa","mm","hits/cm2","Units","Units"
"","","Avg","Tot","Avg","Avg","Max","TMx","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-12-24 02:00:00",380192,0,0,225.9,2.55,3.7,"2013-12-24 01:59:40",-2.8,66.31,1000,0,0,0,0
"2013-12-24 02:01:00",380193,0,0,226.7,2.858,3.4,"2013-12-24 02:00:10",-2.8,66.47,1000,0,0,0,0
"2013-12-24 02:02:00",380194,0,0,235.8,2.91,4.7,"2013-12-24 02:01:55",-2.8,66.6,1000,0,0,0,0
"2013-12-24 02:04:00",380195,0,0,240.9,3.818,5.5,"2013-12-24 02:03:35",-2.8,65.93,1000,0,0,0,0
"2013-12-24 02:05:00",380196,0,0,236.7,3.61,4.2,"2013-12-24 02:04:05",-2.8,65.72,1000,0,0,0,0
"2013-12-24 02:06:00",380197,0,0,219.4,3.692,4.5,"2013-12-24 02:05:50",-2.8,65.86,1000,0,0,0,0
"2013-12-24 02:07:00",380198,0,0,229.5,2.76,3.4,"2013-12-24 02:06:20",-2.8,66,1000,0,0,0,0
"2013-12-24 02:08:00",380199,0,0,218.3,3.91,4.9,"2013-12-24 02:07:25",-2.8,66.13,1000,0,0,0,0
"2013-12-24 02:09:00",380200,0,0,225.1,3.7,4.8,"2013-12-24 02:08:20",-2.8,66.22,1000,0,0,0,0
"2013-12-24 02:10:00",380201,0,0,235.5,3.95,5.3,"2013-12-24 02:10:00",-2.8,66.34,1000,0,0,0,0
"2013-12-24 02:11:00",380202,0,0,243.6,4.758,6,"2013-12-24 02:11:00",-2.8,66.13,1000,0,0,0,0
"2013-12-24 02:12:00",380203,0,0,243.6,3.89,5.1,"2013-12-24 02:11:15",-2.8,65.82,1000,0,0,0,0
"2013-12-24 02:13:00",380204,0,0,244.5,3.94,5.1,"2013-12-24 02:12:35",-2.8,65.87,1000,0,0,0,0
"2013-12-24 02:14:00",380205,0,0,230.8,3.208,4.5,"2013-12-24 02:13:05",-2.8,65.78,1000,0,0,0,0
"2013-12-24 02:15:00",380206,0,0,214.8,3.46,5,"2013-12-24 02:14:35",-2.8,65.92,1000,0,0,0,0
"2013-12-24 02:16:00",380207,0,0,220.4,2.033,2.9,"2013-12-24 02:15:25",-2.8,66.15,1000,0,0,0,0
"2013-12-24 02:17:00",380208,0,0,233.8,2.05,3,"2013-12-24 02:16:50",-2.8,66.21,1000,0,0,0,0
"2013-12-24 02:18:00",380209,0,0,230.5,2.79,3.2,"2013-12-24 02:17:45",-2.8,66.2,1000,0,0,0,0
"2013-12-24 02:19:00",380210,0,0,239.6,2.742,3.4,"2013-12-24 02:18:50",-2.8,66.22,1000,0,0,0,0
"2013-12-24 02:20:00",380211,0,0,240.7,2.66,3.2,"2013-12-24 02:19:45",-2.77,66.17,1000,0,0,0,0
"2013-12-24 02:21:00",380212,0,0,246.3,3.65,4.1,"2013-12-24 02:20:40",-2.708,66.04,1000,0,0,0,0
"2013-12-24 02:22:00",380213,0,0,226.9,3.46,4.1,"2013-12-24 02:21:10",-2.7,65.98,1000,0,0,0,0
"2013-12-24 02:23:00",380214,0,0,228.9,2.72,3.2,"2013-12-24 02:22:05",-2.7,66.17,1000,0,0,0,0
"2013-12-24 02:24:00",380215,0,0,242.3,2.692,3.8,"2013-12-24 02:24:00",-2.7,66.33,1000,0,0,0,0
"2013-12-24 02:25:00",380216,0,0,224.4,3.35,4.2,"2013-12-24 02:25:00",-2.7,66.09,1001,0,0,0,0
"2013-12-24 02:26:00",380217,0,0,233.1,4.525,5.8,"2013-12-24 02:25:20",-2.7,65.63,1000,0,0,0,0
"2013-12-24 02:27:00",380218,0,0,229.9,4.56,5.3,"2013-12-24 02:26:55",-2.8,65.4,1000,0,0,0,0
"2013-12-24 02:28:00",380219,0,0,230.1,3.89,4.5,"2013-12-24 02:27:15",-2.8,65.57,1000,0,0,0,0
"2013-12-24 02:29:00",380220,0,0,241.4,3.592,4.9,"2013-12-24 02:28:50",-2.8,66.03,1000,0,0,0,0
"2013-12-24 02:30:00",380221,0,0,236.7,4.73,5.5,"2013-12-24 02:29:10",-2.8,65.97,1000,0,0,0,0
"2013-12-24 02:31:00",380222,0,0,247,3.55,5.3,"2013-12-24 02:30:05",-2.8,66.4,1000,0,0,0,0
"2013-12-24 02:32:00",380223,0,0,242.8,4.83,5.6,"2013-12-24 02:31:35",-2.8,66.62,1000,0,0,0,0
"2013-12-24 02:33:00",380224,0,0,234.6,4.12,4.9,"2013-12-24 02:32:15",-2.88,66.69,1000,0,0,0,0
"2013-12-24 02:34:00",380225,0,0,235,4.375,5.4,"2013-12-24 02:33:45",-2.9,67.01,1000,0,0,0,0
"2013-12-24 02:35:00",380226,0,0,244.7,3.99,4.9,"2013-12-24 02:34:45",-2.9,67.24,1000,0,0,0,0
"2013-12-24 02:36:00",380227,0,0,242.3,4.017,4.4,"2013-12-24 02:35:40",-2.9,67.42,1000,0,0,0,0
"2013-12-24 02:37:00",380228,0,0,253.8,3.33,4.3,"2013-12-24 02:36:05",-2.9,67.7,1000,0,0,0,0
"2013-12-24 02:38:00",380229,0,0,234,3.31,4.2,"2013-12-24 02:37:30",-2.9,68.27,1000,0,0,0,0
"2013-12-24 02:39:00",380230,0,0,236.4,3.8,4.5,"2013-12-24 02:38:15",-2.9,68.33,1000,0,0,0,0
"2013-12-24 02:40:00",380231,0,0,250.6,3.88,5.4,"2013-12-24 02:39:25",-2.9,68.61,1000,0,0,0,0
"2013-12-24 02:41:00",380232,0,0,250.8,3.808,4.5,"2013-12-24 02:40:45",-2.9,68.78,1001,0,0,0,0
"2013-12-24 02:42:00",380233,0,0,250.2,3.73,4.6,"2013-12-24 02:41:55",-2.9,68.88,1001,0,0,0,0
"2013-12-24 02:43:00",380234,0,0,254,3.83,4.5,"2013-12-24 02:42:40",-2.99,69.18,1000,0,0,0,0
"2013-12-24 02:44:00",380235,0,0,238.3,3.567,4.2,"2013-12-24 02:43:20",-3,69.24,1001,0,0,0,0
"2013-12-24 02:45:00",380236,0,0,243,3.28,3.9,"2013-12-24 02:44:20",-3,69.55,1001,0,0,0,0
"2013-12-24 02:46:00",380237,0,0,249.1,3.733,4.8,"2013-12-24 02:46:00",-3,69.84,1001,0,0,0,0
"2013-12-24 02:47:00",380238,0,0,240.5,3.41,4.2,"2013-12-24 02:46:05",-3,70.23,1000,0,0,0,0
"2013-12-24 02:48:00",380239,0,0,232.7,2.64,3.5,"2013-12-24 02:47:05",-3,70.59,1001,0,0,0,0
"2013-12-24 02:49:00",380240,0,0,244.2,3.208,3.9,"2013-12-24 02:48:55",-3,71.15,1001,0,0,0,0
"2013-12-24 02:50:00",380241,0,0,234.8,3.32,4.1,"2013-12-24 02:49:25",-3,71.12,1000,0,0,0,0
"2013-12-24 02:51:00",380242,0,0,237.6,2.95,3.8,"2013-12-24 02:50:05",-3.04,71.25,1001,0,0,0,0
"2013-12-24 02:52:00",380243,0,0,229.6,2.875,3.7,"2013-12-24 02:51:15",-3.1,71.78,1001,0,0,0,0
"2013-12-24 02:53:00",380244,0,0,235.7,3.11,4.1,"2013-12-24 02:52:25",-3.1,71.82,1001,0,0,0,0
"2013-12-24 02:54:00",380245,0,0,237.3,3.583,4.3,"2013-12-24 02:53:55",-3.1,72.07,1001,0,0,0,0
"2013-12-24 02:55:00",380246,0,0,241.3,3.86,5.1,"2013-12-24 02:54:45",-3.1,72.18,1001,0,0,0,0
"2013-12-24 02:56:00",380247,0,0,236.9,3.4,4.5,"2013-12-24 02:55:30",-3.1,72.37,1001,0,0,0,0
"2013-12-24 02:57:00",380248,0,0,240.9,3,3.9,"2013-12-24 02:56:40",-3.1,72.67,1001,0,0,0,0
"2013-12-24 02:58:00",380249,0,0,241.8,2.81,4.4,"2013-12-24 02:58:00",-3.11,73.1,1001,0,0,0,0
"2013-12-24 02:59:00",380250,0,0,226.7,3.608,5.2,"2013-12-24 02:58:05",-3.192,73.13,1001,0,0,0,0
"2013-12-24 03:00:00",380251,0,0,234,3.6,4.8,"2013-12-24 02:59:30",-3.2,73.31,1001,0,0,0,0
"2013-12-24 03:02:00",380252,0,0,253.1,3.786,4.7,"2013-12-24 03:00:15",-3.2,73.62,1001,0,0,0,0
"2013-12-24 03:03:00",380253,0,0,252.2,3.57,4.3,"2013-12-24 03:02:50",-3.2,73.88,1001,0,0,0,0
"2013-12-24 03:04:00",380254,0,0,242.7,3.64,5.1,"2013-12-24 03:03:15",-3.2,73.9,1001,0,0,0,0
"2013-12-24 03:05:00",380255,0,0,245.1,3.333,4.4,"2013-12-24 03:04:20",-3.2,74.12,1001,0,0,0,0
"2013-12-24 03:06:00",380256,0,0,246.3,3.36,4.5,"2013-12-24 03:05:45",-3.2,74.41,1001,0,0,0,0
"2013-12-24 03:07:00",380257,0,0,249,3.667,5.5,"2013-12-24 03:07:00",-3.2,74.67,1001,0,0,0,0
"2013-12-24 03:08:00",380258,0,0,239.2,3.67,4.7,"2013-12-24 03:07:15",-3.27,74.68,1001,0,0,0,0
"2013-12-24 03:09:00",380259,0,0,255.9,3.09,4.9,"2013-12-24 03:08:15",-3.3,75.1,1001,0,0,0,0
"2013-12-24 03:10:00",380260,0,0,246.2,3.575,4.8,"2013-12-24 03:09:35",-3.3,75.55,1001,0,0,0,0
"2013-12-24 03:11:00",380261,0,0,247.2,3.94,5.3,"2013-12-24 03:10:35",-3.3,76.02,1001,0,0,0,0
"2013-12-24 03:12:00",380262,0,0,258.9,3.61,4.6,"2013-12-24 03:11:20",-3.3,76.36,1001,0,0,0,0
"2013-12-24 03:13:00",380263,0,0,240,3.125,4,"2013-12-24 03:13:00",-3.3,76.66,1001,0,0,0,0
"2013-12-24 03:14:00",380264,0,0,238.6,4.15,4.8,"2013-12-24 03:13:10",-3.3,77,1001,0,0,0,0
"2013-12-24 03:15:00",380265,0,0,243.8,4.033,5.1,"2013-12-24 03:14:45",-3.392,77.32,1001,0,0,0,0
"2013-12-24 03:16:00",380266,0,0,238.9,4.09,5.1,"2013-12-24 03:15:50",-3.4,77.69,1001,0,0,0,0
"2013-12-24 03:18:00",380267,0,0,249.5,3.541,5.4,"2013-12-24 03:16:05",-3.4,78.24,1001,0,0,0,0
"2013-12-24 03:19:00",380268,0,0,266.9,4.06,5.7,"2013-12-24 03:18:50",-3.4,78.96,1001,0,0,0,0
"2013-12-24 03:20:00",380269,0,0,268.3,4.875,6.1,"2013-12-24 03:19:30",-3.458,78.45,1001,0,0,0,0
"2013-12-24 03:21:00",380270,0,0,257.4,4.65,5.3,"2013-12-24 03:20:05",-3.6,77.85,1001,0,0,0,0
"2013-12-24 03:22:00",380271,0,0,272.8,4.41,6,"2013-12-24 03:22:00",-3.72,77.99,1001,0,0,0,0
"2013-12-24 03:23:00",380272,0.037,0.002194522,276.5,5.375,6.2,"2013-12-24 03:22:05",-3.825,77.96,1001,0,0,0,0
"2013-12-24 03:24:00",380273,0.088,0.004389026,260,5.01,6.3,"2013-12-24 03:23:20",-3.93,77.98,1001,0,0,0,0
"2013-12-24 03:26:00",380274,0,0,280.3,4.414,6.4,"2013-12-24 03:26:00",-4.032,78.41,1001,0,0,0,0
"2013-12-24 03:27:00",380275,0,0,255.8,4.9,7.3,"2013-12-24 03:26:05",-4.1,78.34,1001,0,0,0,0
"2013-12-24 03:28:00",380276,0,0,250.8,4.8,5.9,"2013-12-24 03:27:50",-4.1,78.04,1001,0,0,0,0
"2013-12-24 03:29:00",380277,0,0,259.3,3.9,4.7,"2013-12-24 03:28:05",-4.19,77.56,1001,0,0,0,0
"2013-12-24 03:30:00",380278,0,0,248.2,3.508,4.2,"2013-12-24 03:29:35",-4.2,77.34,1001,0,0,0,0
"2013-12-24 03:31:00",380279,0,0,254.6,3,4.3,"2013-12-24 03:30:10",-4.2,76.93,1001,0,0,0,0
"2013-12-24 03:32:00",380280,0,0,248.7,3.75,4.7,"2013-12-24 03:31:35",-4.2,76.87,1001,0,0,0,0
"2013-12-24 03:33:00",380281,0,0,253.3,3.317,4.1,"2013-12-24 03:32:50",-4.2,76.4,1001,0,0,0,0
"2013-12-24 03:34:00",380282,0,0,260.8,3.68,4.9,"2013-12-24 03:34:00",-4.12,76.06,1001,0,0,0,0
"2013-12-24 03:36:00",380283,0,0,248.1,3.664,5,"2013-12-24 03:34:30",-4.1,75.25,1001,0,0,0,0
"2013-12-24 03:37:00",380284,0,0,249.5,3.75,4.5,"2013-12-24 03:36:40",-4.1,75.02,1001,0,0,0,0
"2013-12-24 03:38:00",380285,0,0,230.4,4.483,5.8,"2013-12-24 03:37:35",-4.1,74.4,1001,0,0,0,0
"2013-12-24 03:39:00",380286,0,0,250.2,3.63,5.1,"2013-12-24 03:38:05",-4.1,72.96,1001,0,0,0,0
"2013-12-24 03:40:00",380287,0,0,254.1,3.275,4.7,"2013-12-24 03:39:10",-4.083,72.87,1001,0,0,0,0
"2013-12-24 03:41:00",380288,0,0,257.4,3.72,5.3,"2013-12-24 03:40:40",-4,72.98,1001,0,0,0,0
"2013-12-24 03:42:00",380289,0,0,252.7,3.8,4.5,"2013-12-24 03:41:30",-4,72.73,1001,0,0,0,0
"2013-12-24 03:43:00",380290,0,0,264.3,3.85,4.5,"2013-12-24 03:42:20",-4,71.96,1001,0,0,0,0
"2013-12-24 03:44:00",380291,0,0,251.1,3.79,4.7,"2013-12-24 03:43:50",-4,71.58,1001,0,0,0,0
"2013-12-24 03:45:00",380292,0,0,236.8,3.55,4.6,"2013-12-24 03:44:05",-4,71.43,1001,0,0,0,0
"2013-12-24 03:46:00",380293,0,0,243.5,3.69,5.9,"2013-12-24 03:46:00",-4,71.57,1001,0,0,0,0
"2013-12-24 03:48:00",380294,0,0,256.9,3.923,5.3,"2013-12-24 03:46:05",-4,70.93,1000,0,0,0,0
"2013-12-24 03:49:00",380295,0,0,231,4.44,5.8,"2013-12-24 03:48:20",-4,70.44,1001,0,0,0,0
"2013-12-24 03:50:00",380296,0,0,244.5,3.4,4.6,"2013-12-24 03:49:10",-3.967,70.5,1001,0,0,0,0
"2013-12-24 03:51:00",380297,0,0,266.3,3.14,4.1,"2013-12-24 03:50:50",-3.9,70.9,1001,0,0,0,0
"2013-12-24 03:53:00",380298,0,0,258,3.25,4.5,"2013-12-24 03:51:05",-3.9,70.45,1001,0,0,0,0
"2013-12-24 03:54:00",380299,0,0,232.4,2.6,3.2,"2013-12-24 03:53:55",-3.9,70.28,1001,0,0,0,0
"2013-12-24 03:55:00",380300,0,0,232.9,3.242,4.3,"2013-12-24 03:54:25",-3.9,69.98,1001,0,0,0,0
"2013-12-24 03:56:00",380301,0,0,240.3,2.82,4.3,"2013-12-24 03:56:00",-3.9,69.52,1001,0,0,0,0
"2013-12-24 03:58:00",380302,0,0,237.9,3.214,5,"2013-12-24 03:56:05",-3.9,69.32,1001,0,0,0,0
"2013-12-24 03:59:00",380303,0,0,237.7,2.9,3.6,"2013-12-24 03:58:15",-3.87,69.35,1001,0,0,0,0
